price,name,yearOfRegistration,monthOfRegistration,gearbox,powerPS,model,kilometer,fuelType,brand,vehicleType
1000,Schoen_gepflegt_und_gut_aussehend_?,1999,0,,0,mx_reihe,5000,,mazda,limousine
2200,Opel_Corsa_1.0_12V,2005,1,manuell,60,corsa,80000,benzin,opel,kleinwagen
5500,Verkaufe_Peugeot_206_+__Generation_75_t,2012,4,manuell,73,2_reihe,50000,benzin,peugeot,limousine
5000,Toyota_RAV_4_4x4,2000,8,manuell,150,rav,150000,benzin,toyota,suv
17800,FORD_MONDEO_Bussines_Turnier____Kombi___Diesel____Automatik,2013,9,automatik,163,mondeo,60000,diesel,ford,kombi
19800,Toyota_Land_Cruiser_FJ40_Benzin,1978,6,manuell,135,andere,125000,benzin,toyota,suv
5299,Volkswagen_Volkswagen_Golf_1.9_TDI___AHK___DPF___ALU,2004,11,manuell,105,golf,150000,diesel,volkswagen,limousine
1000,Audi_A4_zu_Verkaufen,1995,12,manuell,101,a4,150000,benzin,audi,limousine
7800,BMW_X3_3.0d_Aut.,2005,11,automatik,218,x_reihe,150000,diesel,bmw,suv
299,VW_Golf_3_Hu_04.2016_1.6_75_PS_ZV_Servo,1995,9,manuell,75,golf,150000,benzin,volkswagen,kleinwagen
1700,Gebrauchtwagen_zu_verkaufen,2003,8,manuell,83,kalos,100000,benzin,daewoo,kleinwagen
750,OPEL_CORSA_B_Sport_rot,1994,5,manuell,80,corsa,125000,benzin,opel,kleinwagen
4200,Audi_A2_1.6_FSI__1.Hand_HU_neu_AHK,2003,1,manuell,110,a2,150000,benzin,audi,kleinwagen
9300,Audi_A4_Avant_2.0_TDI_DPF_S_LINE_INT._+EXT._XENON...,2007,8,manuell,205,a4,150000,diesel,audi,kombi
10500,Audi_A4_Quattro__3.0_TDI__DPF_1._Hand_unfallfrei__scheckheftgepfl,2005,3,manuell,203,a4,150000,diesel,audi,andere
1790,Renault_TWINGO_Beach_Sondermodel,2018,4,manuell,58,twingo,125000,benzin,renault,
5350,Hyundai_Terracan_2.9_CRDi_Automatik_GLS_VOLL,2006,10,automatik,163,andere,150000,diesel,hyundai,suv
1400,Renault_Twingo_1.2_16V_Aut._Initiale_Leder_Autom.,2001,0,automatik,75,twingo,100000,benzin,renault,kleinwagen
780,Ford_Ka_TÜV_neu_mit_Servo,1998,11,manuell,60,ka,100000,benzin,ford,kleinwagen
400,Fiat_Palio_weekend,1998,7,manuell,100,,125000,,fiat,kombi
900,Auto_verkaufen,1997,0,manuell,0,corsa,150000,benzin,opel,kleinwagen
350,Ford_Fiesta,2001,2,manuell,75,fiesta,150000,benzin,ford,kleinwagen
690,Peugeot_206_75,1999,1,manuell,75,2_reihe,150000,benzin,peugeot,kleinwagen
119900,Porsche_911_Carrera_4S_Cabriolet_PDK,2014,2,automatik,400,911,30000,benzin,porsche,cabrio
1200,BMW_5er_e39_Canyonrot_Verkaufe/Tausch,1998,1,manuell,0,5er,150000,benzin,bmw,limousine
5400,Seat_Leon_1.4_TSI_Style_UNFALL!!,2009,10,manuell,125,,150000,,seat,
10900,BMW_X3_3.0d_Autom._Scheckheft__Panoramadach__Leder_,2004,2,automatik,204,x_reihe,150000,diesel,bmw,suv
2200,Bmw_E30_316i_LPG_TÜV_318_e36,2016,0,manuell,99,3er,150000,lpg,bmw,
5200,Skoda_Superb_2_5_TDI_Automatik_Elegance,2005,3,automatik,163,superb,150000,diesel,skoda,limousine
1100,VW_Golf_3_Cabrio,2016,6,manuell,75,golf,150000,lpg,volkswagen,
600,Opel_Corsa_World_Cup,1999,2,manuell,54,corsa,125000,benzin,opel,kleinwagen
7450,Hyundai_i30cw_1.6_Style_AHK__Sitzschienenverlaengerung,2010,3,manuell,126,i_reihe,70000,benzin,hyundai,kombi
25000,Mercedes_Benz_C_220_CDI_BlueEff._8_Fach_bereift_AMG_Felgen,2012,6,automatik,170,c_klasse,40000,diesel,mercedes_benz,limousine
300,VW_Polo_Color_Concept,1996,0,manuell,60,polo,150000,benzin,volkswagen,kleinwagen
7990,VW_T4_Caravelle__Standheizung_AHK__Tempomat__TOP_Zustand,1998,9,manuell,102,transporter,150000,diesel,volkswagen,bus
11990,Volkswagen_Touran_Comfortline_1.6_TDI_2014/NAVI/GARANTIE,2013,10,manuell,105,touran,150000,diesel,volkswagen,bus
590,Renault_Twingo_1.2,1997,7,manuell,58,twingo,150000,benzin,renault,kleinwagen
2400,BMW_530d,2000,11,automatik,193,5er,150000,diesel,bmw,limousine
5000,Skoda_Octavia_Combi_2.0_TDI_DPF_DSG_Ambiente,2008,7,automatik,140,octavia,150000,diesel,skoda,kombi
2500,BMW_528_i_Touring_Kombi_vieles_NEU_Vollausstattung_TÜV_3/2017,2000,2,automatik,193,5er,150000,,bmw,kombi
6990,BMW_318d_DPF,2006,4,manuell,122,3er,150000,diesel,bmw,limousine
500,Opel_Omega_Caravan_2.0_16V,1998,7,manuell,136,omega,100000,benzin,opel,kombi
1150,VW_Lupo_Baujahr_2000,2000,3,manuell,50,lupo,125000,benzin,volkswagen,kleinwagen
690,Volkswagen_Passat_Variant_1.8_5V,1997,7,manuell,125,passat,150000,benzin,volkswagen,kombi
2300,Mercedes_Benz_E_270_T_CDI_Avantgarde,2001,6,automatik,170,e_klasse,150000,diesel,mercedes_benz,kombi
130,BMW_318i_BASTLERFAHRZEUG,1998,0,manuell,122,3er,150000,benzin,bmw,limousine
799,Golf_4_12/2017,2017,11,manuell,75,golf,150000,benzin,volkswagen,
0,Twingo_fuer_Bastler,2001,9,manuell,60,twingo,90000,benzin,renault,kleinwagen
1550,Volkswagen_Passat_1.8_5V,1998,4,manuell,125,passat,150000,benzin,volkswagen,limousine
6850,Mercedes_Benz_ML_350_LPG,2003,1,automatik,235,m_klasse,150000,lpg,mercedes_benz,suv
19500,Mercedes_Benz_C_180_BlueEFFICIENCY_7G_TRONIC_Elegance,2011,11,automatik,156,c_klasse,60000,benzin,mercedes_benz,limousine
27500,Ford_Model_A_Roadster_Deluxe_1931,1931,7,manuell,39,andere,10000,benzin,ford,cabrio
0,Audi_A6__2010,2016,10,automatik,170,a6,150000,diesel,audi,
1900,TOP_Nissan_Almera_1.4___nie_Zahnriemen_tauschen__Steuerkette!_,1996,6,manuell,75,almera,125000,benzin,nissan,kleinwagen
4300,Opel_Meriva_1.6_16V,2009,7,manuell,105,meriva,150000,benzin,opel,bus
2850,BMW_318_E46_Tuev_neu,1999,10,manuell,118,3er,150000,benzin,bmw,limousine
8890,Hyundai_Santa_Fe_2.2_CRDi_2WD_Automatik_GLS_Scheckheft,2006,11,automatik,150,santa,150000,diesel,hyundai,suv
150,SZUKAM_taniego_TRANSPORTU_auta_do_Polski,2000,1,,0,,5000,,sonstige_autos,
650,Audi_A4_Avant,1996,6,manuell,125,a4,150000,benzin,audi,kombi
890,POLO_6N_TÜV_NEU,1996,12,manuell,50,polo,150000,benzin,volkswagen,kleinwagen
1200,Volkswagen_Passat_Variant_1.9_TDI_Comfortline,2001,5,manuell,101,passat,150000,diesel,volkswagen,kombi
500,Volkswagen_Polo,1993,5,manuell,45,polo,150000,benzin,volkswagen,kleinwagen
36900,BMW_420d_Gran_Coupe_Sport_Line,2015,4,manuell,190,andere,20000,diesel,bmw,coupe
6199,Audi_A4_2.5_TDI_multitronic,2006,5,automatik,163,a4,150000,diesel,audi,limousine
62500,Porsche_991,2012,7,manuell,349,911,40000,benzin,porsche,coupe
500,SUCHEN_KLEINWAGEN_F._SCHMALES_GELD,2016,0,manuell,0,,150000,benzin,sonstige_autos,
500,Bmw_318is_Tuev_08/16_Angel_Eyes_M3_Spiegel,1993,7,manuell,140,3er,150000,benzin,bmw,coupe
11500,Mercedes_Benz_A_170_Autotronic_Avantgarde,2006,7,automatik,116,a_klasse,20000,benzin,mercedes_benz,limousine
8490,Skoda_Citigo_Sport,2013,12,manuell,75,citigo,20000,benzin,skoda,kleinwagen
850,Motor_ist_top,2000,6,manuell,90,caddy,150000,diesel,volkswagen,bus
5650,Opel_Signum_3.0_V6_CDTI_Automatik_Edition,2005,12,automatik,184,signum,150000,diesel,opel,kombi
4750,Mercedes_Benz_S_320,1996,11,automatik,231,s_klasse,150000,lpg,mercedes_benz,limousine
3900,Volkswagen_Polo_1.4_AHK_8fach_bereift,2004,1,manuell,75,polo,100000,benzin,volkswagen,kleinwagen
23500,Seat_Leon_FR_2.0_TDI__184_PS,2014,4,manuell,184,leon,30000,diesel,seat,limousine
4000,Mazda_6_Sport_Kombi_2.0_CD_DPF_Top,2006,4,manuell,143,6_reihe,150000,diesel,mazda,kombi
1500,Mercedes_Benz_C_270_T_CDI_Avantgarde,2001,11,manuell,170,c_klasse,150000,diesel,mercedes_benz,kombi
950,Audi_80_2.0_E,1991,7,manuell,116,80,150000,benzin,audi,limousine
5700,Audi_A8_3.7_quattro_NEU_TÜV_02.2018_EURO4_Luftfahrwer,2003,3,automatik,280,a8,150000,benzin,audi,limousine
1190,Audi_A6_Avant_2.5TDI_quattro,1999,9,automatik,150,a6,150000,diesel,audi,kombi
3600,Mercedes_Benz_Vito_111_CDI_klima,2004,3,manuell,109,vito,150000,diesel,mercedes_benz,bus
9000,BMW_320i_lim._Grosses_Navi,2005,10,manuell,150,3er,150000,benzin,bmw,limousine
1790,Opel_Astra_Cabrio_1.6i_Bertone_Edition,1999,4,automatik,75,astra,150000,benzin,opel,cabrio
7800,VW_Passat_3c_Variant_Sportline_Kauf_oder_Tausch!,2008,0,automatik,180,passat,150000,,volkswagen,kombi
1850,Audi_A3_8L_1.6_Liter,1997,0,manuell,101,a3,150000,,audi,kleinwagen
12999,Mercedes_Benz_Vito_115_Cdi,2006,3,manuell,150,vito,150000,diesel,mercedes_benz,bus
7800,Mercedes_Sprinter_216CDI,2011,10,manuell,163,sprinter,150000,diesel,mercedes_benz,bus
0,Honda_S2000__Tausch___BMW_1er/3er/6er__ect..,2017,1,manuell,241,,150000,benzin,honda,
3790,Renault_Clio_1.2_16V_Authentique___Klima__Durchsicht_Neu,2007,1,manuell,65,clio,80000,benzin,renault,kleinwagen
1800,MINI_Mini_Cooper,1992,12,manuell,63,cooper,125000,benzin,mini,kleinwagen
1100,Skoda_Octavia_1.6,2000,7,manuell,101,octavia,150000,benzin,skoda,limousine
2150,Mercedes_Benz_A_160_Classic_TÜV_NEU_bis_2018_Sitzh._Klima.....,2003,2,manuell,102,a_klasse,150000,benzin,mercedes_benz,limousine
1000,Audi_A4_B5_2.6l_V6_TÜV,1996,11,manuell,150,a4,150000,benzin,audi,kombi
799,Astra_F_Cabrio,1998,4,manuell,75,astra,5000,benzin,opel,cabrio
9999,Gepflegter_Touran_1.4_TSI,2009,0,manuell,140,,90000,,volkswagen,
130,Fiat_seicento,1999,3,manuell,54,seicento,90000,benzin,fiat,kleinwagen
11800,Mercedes_Benz_E_500_Avantgarde,2004,4,automatik,306,e_klasse,150000,benzin,mercedes_benz,limousine
550,Renault_Twingo_Liberty_zu_verkaufen...,1997,3,manuell,52,twingo,150000,benzin,renault,kleinwagen
1499,Audi_A4_1.6_Benzin_Top_Zustand!,1999,7,manuell,0,a4,150000,benzin,audi,kombi
799,A6_Quattro,1996,6,manuell,0,a6,150000,benzin,audi,kombi
1990,Sehr_gutes_Auto_mit_geringem_Spritverbrauch_mit_int._Kindersitze,2017,9,manuell,60,a_klasse,150000,diesel,mercedes_benz,
1899,Volkswagen_Bora_2.0_4Motion_Pacific_Scheckheftgepflegt,2003,3,manuell,116,bora,150000,benzin,volkswagen,limousine
2100,Seat_Arosa_mit_neuem_Tuev,2003,7,manuell,60,arosa,125000,benzin,seat,kleinwagen
8299,Mercedes_Benz_313_CDI_Sprinter,2010,12,manuell,129,sprinter,150000,diesel,mercedes_benz,bus
8450,Volkswagen_Eos_1.4_TSI_TÜV_bis_2017_Inspektion_NEU,2008,3,manuell,122,eos,100000,benzin,volkswagen,cabrio
7590,BMW_318d_DPF_Touring,2007,7,manuell,122,3er,150000,diesel,bmw,kombi
999,VW_Golf_II,1989,3,manuell,54,golf,150000,benzin,volkswagen,kleinwagen
80,Polo_86_c_Coupé__Tuev_08/16,1991,0,manuell,45,polo,60000,benzin,volkswagen,coupe
5750,Volkswagen_Caddy_1.6_LIFE!!,2008,1,manuell,102,caddy,150000,benzin,volkswagen,bus
14500,Audi_A_1_Sportback,2013,4,manuell,86,a1,20000,benzin,audi,limousine
9500,Volkswagen_Golf_R32_4Motion,2006,3,manuell,250,golf,150000,benzin,volkswagen,limousine
3890,Smart_smart_fortwo_coupe_softouch_1.0_MHD,2009,8,automatik,61,fortwo,90000,benzin,smart,kleinwagen
400,Audi_A4_Bj.95_B5,1995,10,manuell,100,a4,150000,benzin,audi,limousine
17999,Volkswagen_Golf_1.4_TSI_BlueMotion_HIGHLINE_Navi_Panorama_Xenon,2014,2,manuell,140,golf,30000,benzin,volkswagen,limousine
7200,BMW_120i,2006,3,manuell,150,1er,150000,benzin,bmw,limousine
5200,Ford_Granada_2.0L,1979,12,manuell,101,andere,80000,benzin,ford,limousine
2500,PT_Cruiser_Rat_Rod_Hot_Rot_Ratte_Airbrush,2000,9,manuell,141,ptcruiser,150000,benzin,chrysler,andere
1200,Mercedes_Benz_190,1989,4,manuell,102,andere,150000,benzin,mercedes_benz,limousine
11450,Volkswagen_Golf_1.6_TDI_DPF_Style,2011,8,manuell,105,golf,90000,diesel,volkswagen,limousine
1,T4_Schlachtfest_TDI,1995,3,manuell,75,transporter,5000,diesel,volkswagen,bus
900,Volkswagen_Lupo_1.4,2002,1,manuell,60,lupo,150000,benzin,volkswagen,kleinwagen
1250,Smart_ForTwo_450_&_passion__TueV/AU_bis_07/2017__top_Winterreifen,2002,3,automatik,45,fortwo,150000,benzin,smart,kleinwagen
4950,Tigra_Twin_Top_zu_verkaufen_1.8L_125PS,2005,6,manuell,125,tigra,70000,benzin,opel,cabrio
10950,Audi_a6_2.7_TDI_tiptronic,2017,7,automatik,179,a6,150000,,audi,
12200,Volkswagen_Golf_1.2_TSI_MATCH,2012,5,manuell,105,golf,50000,benzin,volkswagen,limousine
1700,Opel_Vectra_1.6,1998,3,manuell,101,vectra,150000,benzin,opel,limousine
2000,Seat_Ibiza_1.4i_16v_Sport_Edition,2005,0,manuell,75,ibiza,150000,benzin,seat,kleinwagen
2400,Volkswagen_Polo_1.2_Comfortline,2002,3,manuell,64,polo,125000,benzin,volkswagen,kleinwagen
22890,Volkswagen_Touareg_3.0_V6_TDI_DPF_Aut.,2009,12,automatik,241,touareg,70000,diesel,volkswagen,suv
1299,Vw_golf_4_1.6_nur_145000_tuev_2_jahre,1999,5,manuell,90,,150000,,volkswagen,limousine
14300,Golf_7._Schwarz.__Limousine.,2014,3,manuell,122,golf,30000,,volkswagen,limousine
888,AUDI_A4_TÜV_10/17+KAMERA+Freisprech+anhaengerkupplung,1998,10,automatik,165,a4,150000,,audi,limousine
4999,Ford_Fiesta_1.4_TDCi_Trend,2011,1,manuell,69,fiesta,125000,diesel,ford,kleinwagen
7850,Top!!!_Seat_Mii_Style_Sportpaket_!!!,2012,11,manuell,75,mii,60000,benzin,seat,kleinwagen
1500,BMW_320i,1995,12,manuell,150,3er,150000,benzin,bmw,cabrio
13799,Volkswagen_Passat_Variant_1.6_TDI_Wasserpumpe_neu_Standheiz,2012,4,manuell,105,passat,80000,diesel,volkswagen,kombi
1290,Fiesta_1_3l_ideales_anfaenger_auto!!__Mit_TÜV_1_jahr,2000,3,manuell,50,fiesta,150000,benzin,ford,kleinwagen
1200,Pkw_pasat_kombi_1.6_Benzin,1999,0,manuell,0,passat,150000,,volkswagen,kombi
10900,Audi_A4_Avant_3.0_TDI_DPF_quattro,2007,5,automatik,232,a4,150000,diesel,audi,kombi
2200,320_d_Vollaustung,2002,1,manuell,150,3er,150000,diesel,bmw,limousine
750,Opel_Astra,1999,8,manuell,75,astra,150000,,opel,kleinwagen
1400,Polo_6n_1.9_Diesel_TÜV_NEU,1997,0,manuell,64,polo,150000,diesel,volkswagen,kleinwagen
8100,Audi_A3_2.0_TDI_Sportback,2006,2,manuell,140,a3,150000,diesel,audi,kombi
14890,BMW_325d_DPF_Cabrio_Aut.,2008,8,automatik,197,3er,150000,diesel,bmw,cabrio
1450,Volkswagen_Polo_75_Servo,1998,4,automatik,75,polo,90000,benzin,volkswagen,kleinwagen
1800,Honda_Civic_1.4i_S,2002,7,manuell,90,civic,150000,benzin,honda,limousine
2850,Verkaufe_VW_Fox,2011,4,manuell,40,fox,125000,benzin,volkswagen,kleinwagen
18700,BMW_330d_Coupe,2011,11,manuell,245,3er,150000,diesel,bmw,coupe
2500,Volkswagen_Golf_Variant_1.4_Edition,2000,6,manuell,75,golf,150000,benzin,volkswagen,kombi
15555,"A5_Coupe_Leder_Bi_Xenin_Automatik_""Black""Himmel",2010,3,automatik,180,a5,125000,,audi,coupe
12500,Land_Rover_Serie_III,1975,12,manuell,69,andere,70000,benzin,land_rover,suv
6450,VW_T4__2_5TDI_Kat_Caravelle__9_Sitzer_Diesel_gebraucht_unfallfrei,2001,3,manuell,102,transporter,150000,diesel,volkswagen,bus
500,Opel_omega_2.5_V6_TÜV_03/17,1997,9,automatik,170,omega,150000,benzin,opel,limousine
2600,BMW_520i_M_Sportpaket_8_fach_bereift,2000,1,manuell,150,5er,150000,benzin,bmw,limousine
24900,Boxster_S___nur_16700_km__Gelegenheit,2003,7,manuell,260,boxster,20000,benzin,porsche,cabrio
1399,Renault_Twingo_1.Hand_Faltdach_Tuev_neu_top_Zustand,2003,6,manuell,58,twingo,125000,benzin,renault,kleinwagen
9500,BMW_545i,2003,12,automatik,333,5er,150000,benzin,bmw,limousine
5400,Peugeot_307_CC_mit_LPG_Fluessiggasanlage_und_Lederaustattung,2006,3,manuell,140,3_reihe,150000,benzin,peugeot,cabrio
1300,Audi_A3_1.6_mit_neuem_Zahnriemen_usw.,1997,11,manuell,101,a3,150000,benzin,audi,kleinwagen
5750,Mercedes_Benz_C_Klasse,2004,9,manuell,0,c_klasse,150000,,mercedes_benz,limousine
800,Ford_Mondeo_MK3_/_LPG_Autogas_Prins_VSI,2002,8,manuell,145,mondeo,150000,lpg,ford,kombi
750,Vw_Passat_1.6_*Benzin_*Klima*09/16Tuev*,1998,6,manuell,101,passat,150000,benzin,volkswagen,limousine
3500,Mercedes_Benz_CE_300_Eelegance_TÜV_Neu,1992,3,automatik,180,e_klasse,150000,,mercedes_benz,coupe
15900,Audi_TT_Coupe_2.0_TDI_quattro_+Standheizung_Parksensoren__Diesel,2009,3,manuell,170,tt,125000,diesel,audi,coupe
550,Renault_Clio___1_2_Liter_Maschine___Klima__5_Tuerer___Tuev_03/2016,2000,8,manuell,60,clio,150000,benzin,renault,kleinwagen
7850,Kia_Sorento_2.5_CRDi_VGT_Aut._EX,2008,1,automatik,170,sorento,150000,diesel,kia,suv
1100,Mitsubishi_L_400,2000,6,manuell,87,andere,150000,diesel,mitsubishi,bus
699,Sammlerstueck_Subaru,1987,3,automatik,90,,150000,benzin,subaru,limousine
10000,Fiat_124_Spider_CS1_1800_Bj._78__Weber_IDF_40,1978,6,manuell,86,andere,100000,benzin,fiat,cabrio
17500,Audi_A5_2.0_TDI_Sportback_DPF_multitronic_1.HD_TOP!!!,2010,12,automatik,143,a5,125000,diesel,audi,coupe
3800,Volkswagen_Golf_Cabrio,1992,9,manuell,98,golf,125000,benzin,volkswagen,cabrio
2899,Volkswagen_Polo_1.2_CrossPolo,2007,12,manuell,69,polo,125000,benzin,volkswagen,kleinwagen
2650,Volkswagen_Polo,2001,9,manuell,60,polo,150000,benzin,volkswagen,kleinwagen
4390,Opel_Astra_1.8_Elegance,2005,4,manuell,125,astra,90000,benzin,opel,limousine
880,Toyota_Corolla_1.4,1998,4,manuell,86,corolla,150000,benzin,toyota,limousine
3980,Opel_Corsa_1.2_16V_ecoFLEX_1_HAND_KLIMA_SCHECKHEFTG.,2010,10,manuell,69,corsa,125000,benzin,opel,kleinwagen
16500,Audi_A6_allroad_quattro_3.0_TDI_DPF_tiptronic,2009,3,automatik,239,andere,150000,diesel,audi,kombi
2499,Volkswagen_Golf_2.0_4Motion,2002,10,manuell,116,golf,150000,benzin,volkswagen,limousine
12200,Mercedes_Benz_Viano_2.2_CDI_lang_Trend_DPF,2006,5,manuell,150,viano,150000,diesel,mercedes_benz,bus
100,Opel_Astra_F_an_Bastler_Preis_verhandelbar,1999,0,manuell,75,astra,150000,,opel,kombi
3650,Renault_Clio_1.5_dCi_Grandtour_Authentique,2008,8,manuell,65,clio,125000,diesel,renault,kombi
8700,Opel_insignia,2016,4,manuell,116,insignia,125000,benzin,opel,
550,VW_Golf_zuverkaufen,2000,0,,0,golf,150000,benzin,volkswagen,
11500,Mercedes_Benz_E_240_Elegance_W211,2004,4,automatik,177,e_klasse,60000,benzin,mercedes_benz,limousine
4999,Renault_Megane_2.0_Coupe_Cabriolet_Dynamique_KARMANN,2005,5,manuell,135,megane,125000,benzin,renault,cabrio
9600,Audi_A3_Attraction,2009,10,manuell,160,a3,150000,benzin,audi,kombi
4700,Opel_Corsa_1.0_12V_Eco,2009,4,manuell,60,corsa,80000,benzin,opel,kleinwagen
1500,Opel_Corsa_1.0_12V,2002,5,manuell,58,corsa,125000,benzin,opel,kleinwagen
2299,BMW_316i_E46_TÜV_neu_Unfallfrei_Klima_Parktronic,2000,4,manuell,105,3er,150000,benzin,bmw,limousine
4950,Opel_Meriva_1.6_16V,2006,12,manuell,105,meriva,40000,benzin,opel,bus
6100,BMW_530i,2001,11,manuell,231,5er,150000,benzin,bmw,limousine
29900,VW_T5_2.0_TDi_DSG_140_PS_Comfortline_mit_2_Schiebetueren__EZ_05/14,2017,5,automatik,140,transporter,50000,diesel,volkswagen,
2190,Skoda_Fabia_1.2_HTP_Combi,2005,6,manuell,64,fabia,150000,benzin,skoda,kombi
37000,Audi_S5_Cabrio_S_tronic,2014,7,automatik,333,andere,20000,benzin,audi,cabrio
1000,Verkauf_mein_Renault_espace_das_aus_ist_TOP,1998,6,manuell,114,espace,150000,benzin,renault,bus
7100,Audi_TT_1.8_Turbo_Cabrio,2001,4,manuell,150,tt,125000,benzin,audi,cabrio
29350,BMW_M135i,2012,9,manuell,320,m_reihe,50000,benzin,bmw,limousine
200,Renault_twingo_1.2,1997,6,manuell,53,twingo,150000,benzin,renault,kleinwagen
1050,Ford_Ka,2000,9,manuell,60,ka,125000,benzin,ford,kleinwagen
199,Fiesta_Motor_Getriebe_gut,1997,2,manuell,50,fiesta,150000,benzin,ford,kleinwagen
48999,BMW_X1_xDrive25d_Aut._Sport_Line,2015,7,automatik,231,x_reihe,5000,diesel,bmw,limousine
7990,Seat_Exeo_ST_2.0_TDI_CR,2009,9,manuell,143,exeo,150000,diesel,seat,kombi
599,Seat_arosa____Festpreis_,1999,6,manuell,50,arosa,150000,benzin,seat,kleinwagen
1300,Peugeot_307_sw_Autogas,2003,5,,109,3_reihe,150000,,peugeot,kombi
2222,Kadett_C_City_07er_und_H_Zulassung,1976,0,manuell,66,kadett,150000,benzin,opel,limousine
1800,Audi_A3_8l,1997,2,automatik,125,a3,150000,benzin,audi,limousine
6000,Citroën_C4_Picasso,2006,6,automatik,136,c4,150000,diesel,citroen,bus
4300,Hyundai_teracan,2004,6,automatik,150,andere,150000,diesel,hyundai,suv
12600,Audi_A4_Cabriolet_3.0_TDI_DPF_quattro,2006,7,manuell,232,a4,150000,diesel,audi,cabrio
3500,A4_2.0_TDI_DPF_S_Line,2007,11,,0,a4,150000,diesel,audi,limousine
8500,Volkswagen_Golf_Plus_2.0_TDI_DPF_Comfortline,2009,10,manuell,110,golf,125000,diesel,volkswagen,bus
4499,BMW_520i_150ps_Kein_Rost__2_Hand_Durchladesystem,2000,4,automatik,150,5er,150000,benzin,bmw,limousine
1350,Peugeot_307_SW,2003,1,manuell,109,3_reihe,150000,benzin,peugeot,kombi
800,Ford_Mondeo_mk3_bwy_??tddi_??,2001,9,manuell,116,mondeo,150000,diesel,ford,kombi
1499,38989_km_gepflegt,1992,11,manuell,0,,40000,benzin,skoda,limousine
1000,Passat_B5_Kombi,1997,8,manuell,100,passat,150000,benzin,volkswagen,kombi
3500,Seat_Ibiza_1.4_16V_Sport_Edition,2006,4,manuell,75,ibiza,150000,benzin,seat,kleinwagen
6550,Mazda_Mazda_MX5_NB_Top_Zustand!_inkl._Hard_Top,2004,6,manuell,110,mx_reihe,50000,benzin,mazda,cabrio
5999,Bmw_323_ti_Compact,2017,2,manuell,200,3er,150000,,bmw,
1600,Peugeot_306_Break,2001,5,manuell,110,3_reihe,150000,benzin,peugeot,kombi
12400,BMW_Z4_roadster_3.0i,2003,4,manuell,231,z_reihe,80000,benzin,bmw,cabrio
8900,Saab_9_3_2.0_T_Cabrio_Aero,2004,11,manuell,209,andere,150000,benzin,saab,cabrio
12500,Mercedes_Benz_S_350_7G_TRONIC,2009,3,automatik,272,s_klasse,150000,benzin,mercedes_benz,limousine
750,Opel_Corsa_B_1_2_ECO_mit_Neuen_Tuev_04/2018_!!!!!!!,1998,10,manuell,54,corsa,150000,benzin,opel,kleinwagen
650,Renault_Twingo_1.2_TOP_8Reifen,2002,2,manuell,58,twingo,150000,benzin,renault,kleinwagen
